spe	species	dataset	chr	mds	direction	threshold	n_blocks
annuus	Annuus	env	1	1	neg	-0.4	1
annuus	Annuus	env	5	1	pos	0	1
annuus	Annuus	env	11	1	pos	0	1
annuus	Annuus	env	13	1	pos	0.05	1
annuus	Annuus	env	13	2	pos	0.3	1
annuus	Annuus	env	14	1	neg	-0.375	1
annuus	Annuus	env	14	4	neg	-0.3	1
annuus	Annuus	env	15	1	pos	0.2	1
annuus	Annuus	env	16	1	neg	-0.2	1
annuus	Annuus	env	16	2	pos	0.18	1
annuus	Annuus	env	17	2	neg	-0.2	1
argophyllus	Argophyllus	gwas	3	1	pos	0.375	1
argophyllus	Argophyllus	gwas	3	2	pos	0.3	1
argophyllus	Argophyllus	gwas	6	1	pos	0.5	1
argophyllus	Argophyllus	gwas	6	4	pos	0.2	1
argophyllus	Argophyllus	gwas	10	1	neg	-0.2	1
argophyllus	Argophyllus	gwas	14	1	pos	0.15	1
argophyllus	Argophyllus	gwas	16	3	pos	0.3	1
petiolaris_syn	Petiolaris	petSyn	1	1	syn	NA	NA
petiolaris_syn	Petiolaris	petSyn	5	1	syn	NA	NA
petiolaris_syn	Petiolaris	petSyn	6	1	syn	NA	NA
petiolaris_syn	Petiolaris	petSyn	6	2	syn	NA	NA
petiolaris_syn	Petiolaris	petSyn	6	3	syn	NA	NA
petiolaris_syn	Petiolaris	petSyn	7	1	syn	NA	NA
petiolaris_syn	Petiolaris	petSyn	8	1	syn	NA	NA
petiolaris_syn	Petiolaris	petSyn	9	1	syn	NA	NA
petiolaris_syn	Petiolaris	petSyn	10	1	syn	NA	NA
petiolaris_syn	Petiolaris	petSyn	11	1	syn	NA	NA
petiolaris_syn	Petiolaris	petSyn	12	1	syn	NA	NA
petiolaris_syn	Petiolaris	petSyn	13	1	syn	NA	NA
petiolaris_syn	Petiolaris	petSyn	14	1	syn	NA	NA
petiolaris_syn	Petiolaris	petSyn	14	2	syn	NA	NA
petiolaris_syn	Petiolaris	petSyn	16	1	syn	NA	NA
petiolaris_syn	Petiolaris	petSyn	17	1	syn	NA	NA
petiolaris_syn	Petiolaris	petSyn	17	2	syn	NA	NA
petiolaris_syn	Petiolaris	petSyn	17	3	syn	NA	NA
niveus	Niveus	gwas	5	1	neg	-0.4	1
niveus	Niveus	gwas	6	3	neg	-0.2	1
niveus	Niveus	gwas	7	3	neg	-0.3	1
niveus	Niveus	gwas	8	1	pos	0.2	1
niveus	Niveus	gwas	10	4	neg	-0.4	1
niveus	Niveus	gwas	15	1	neg	-0.1	3
niveus	Niveus	gwas	17	1	neg	-0.2	2
